date,realtime_start,realtime_end,value
1997-06-01,2018-10-13,2018-10-13,10.75
1997-07-01,2018-10-13,2018-10-13,9.7355
1997-08-01,2018-10-13,2018-10-13,9.6809
1997-09-01,2018-10-13,2018-10-13,9.6
1997-10-01,2018-10-13,2018-10-13,8.5686
1997-11-01,2018-10-13,2018-10-13,8.707
1997-12-01,2018-10-13,2018-10-13,9
1998-01-01,2018-10-13,2018-10-13,8.719
1998-02-01,2018-10-13,2018-10-13,8.5962
1998-03-01,2018-10-13,2018-10-13,8.7092
1998-04-01,2018-10-13,2018-10-13,6.88
1998-05-01,2018-10-13,2018-10-13,7.4466
1998-06-01,2018-10-13,2018-10-13,6.9244
1998-07-01,2018-10-13,2018-10-13,5.9877
1998-08-01,2018-10-13,2018-10-13,6.752
1998-09-01,2018-10-13,2018-10-13,5.355
1998-10-01,2018-10-13,2018-10-13,5.2292
1998-11-01,2018-10-13,2018-10-13,6.7931
1998-12-01,2018-10-13,2018-10-13,4.8665
1999-01-01,2018-10-13,2018-10-13,4.5161
1999-02-01,2018-10-13,2018-10-13,6.2767
1999-03-01,2018-10-13,2018-10-13,4.3972
1999-04-01,2018-10-13,2018-10-13,4.3383
1999-05-01,2018-10-13,2018-10-13,4.2458
1999-06-01,2018-10-13,2018-10-13,3.4632
1999-07-01,2018-10-13,2018-10-13,2.8688
1999-08-01,2018-10-13,2018-10-13,2.8003
1999-09-01,2018-10-13,2018-10-13,2.7752
1999-10-01,2018-10-13,2018-10-13,2.7973
1999-11-01,2018-10-13,2018-10-13,2.7629
1999-12-01,2018-10-13,2018-10-13,2.6592
2000-01-01,2018-10-13,2018-10-13,2.7155
2000-02-01,2018-10-13,2018-10-13,2.7268
2000-03-01,2018-10-13,2018-10-13,2.6435
2000-04-01,2018-10-13,2018-10-13,2.6423
2000-05-01,2018-10-13,2018-10-13,2.5682
2000-06-01,2018-10-13,2018-10-13,2.4485
2000-07-01,2018-10-13,2018-10-13,2.5058
2000-08-01,2018-10-13,2018-10-13,2.4385
2000-09-01,2018-10-13,2018-10-13,2.4197
2000-10-01,2018-10-13,2018-10-13,2.4964
2000-11-01,2018-10-13,2018-10-13,2.3392
2000-12-01,2018-10-13,2018-10-13,3.2674
2001-01-01,2018-10-13,2018-10-13,2.8258
2001-02-01,2018-10-13,2018-10-13,2.8275
2001-03-01,2018-10-13,2018-10-13,2.6494
2001-04-01,2018-10-13,2018-10-13,2.5887
2001-05-01,2018-10-13,2018-10-13,2.5457
2001-06-01,2018-10-13,2018-10-13,2.5516
2001-07-01,2018-10-13,2018-10-13,2.4958
2001-08-01,2018-10-13,2018-10-13,2.4372
2001-09-01,2018-10-13,2018-10-13,2.3849
2001-10-01,2018-10-13,2018-10-13,2.3417
2001-11-01,2018-10-13,2018-10-13,2.3371
2001-12-01,2018-10-13,2018-10-13,2.2688
2002-01-01,2018-10-13,2018-10-13,2.2796
2002-02-01,2018-10-13,2018-10-13,2.1624
2002-03-01,2018-10-13,2018-10-13,2.0207
2002-04-01,2018-10-13,2018-10-13,1.99
2002-05-01,2018-10-13,2018-10-13,1.982
2002-06-01,2018-10-13,2018-10-13,1.97
2002-07-01,2018-10-13,2018-10-13,2.03
2002-08-01,2018-10-13,2018-10-13,2.12
2002-09-01,2018-10-13,2018-10-13,2.23
2002-10-01,2018-10-13,2018-10-13,2.34
2002-11-01,2018-10-13,2018-10-13,2.33
2002-12-01,2018-10-13,2018-10-13,2.37
2003-01-01,2018-10-13,2018-10-13,2.39
2003-02-01,2018-10-13,2018-10-13,2.31
2003-03-01,2018-10-13,2018-10-13,2.24
2003-04-01,2018-10-13,2018-10-13,2.17
2003-05-01,2018-10-13,2018-10-13,2.16
2003-06-01,2018-10-13,2018-10-13,2.28
2003-07-01,2018-10-13,2018-10-13,2.34
2003-08-01,2018-10-13,2018-10-13,2.36
2003-09-01,2018-10-13,2018-10-13,3.68
2003-10-01,2018-10-13,2018-10-13,3.45
2003-11-01,2018-10-13,2018-10-13,3.1
2003-12-01,2018-10-13,2018-10-13,2.94
2004-01-01,2018-10-13,2018-10-13,2.84
2004-02-01,2018-10-13,2018-10-13,2.33
2004-03-01,2018-10-13,2018-10-13,2.27
2004-04-01,2018-10-13,2018-10-13,2.61
2004-05-01,2018-10-13,2018-10-13,2.81
2004-06-01,2018-10-13,2018-10-13,3.11
2004-07-01,2018-10-13,2018-10-13,3.03
2004-08-01,2018-10-13,2018-10-13,3
2004-09-01,2018-10-13,2018-10-13,2.93
2004-10-01,2018-10-13,2018-10-13,2.94
2004-11-01,2018-10-13,2018-10-13,2.91
2004-12-01,2018-10-13,2018-10-13,2.73
2005-01-01,2018-10-13,2018-10-13,2.49
2005-02-01,2018-10-13,2018-10-13,2.38
2005-03-01,2018-10-13,2018-10-13,2.51
2005-04-01,2018-10-13,2018-10-13,2.21
2005-05-01,2018-10-13,2018-10-13,1.52
2005-06-01,2018-10-13,2018-10-13,1.5
2005-07-01,2018-10-13,2018-10-13,1.54
2005-08-01,2018-10-13,2018-10-13,1.49
2005-09-01,2018-10-13,2018-10-13,1.52
2005-10-01,2018-10-13,2018-10-13,1.83
2005-11-01,2018-10-13,2018-10-13,1.53
2005-12-01,2018-10-13,2018-10-13,1.77
2006-01-01,2018-10-13,2018-10-13,.
2006-02-01,2018-10-13,2018-10-13,1.78
2006-03-01,2018-10-13,2018-10-13,1.89
2006-04-01,2018-10-13,2018-10-13,2.24
2006-05-01,2018-10-13,2018-10-13,2.27
2006-06-01,2018-10-13,2018-10-13,2.51
2006-07-01,2018-10-13,2018-10-13,3.12
2006-08-01,2018-10-13,2018-10-13,2.85
2006-09-01,2018-10-13,2018-10-13,2.72
2006-10-01,2018-10-13,2018-10-13,2.7
2006-11-01,2018-10-13,2018-10-13,2.98
2006-12-01,2018-10-13,2018-10-13,2.84
2007-01-01,2018-10-13,2018-10-13,2.63
2007-02-01,2018-10-13,2018-10-13,2.82
2007-03-01,2018-10-13,2018-10-13,2.63
2007-04-01,2018-10-13,2018-10-13,3.91
2007-05-01,2018-10-13,2018-10-13,3.58
2007-06-01,2018-10-13,2018-10-13,3.14
2007-07-01,2018-10-13,2018-10-13,3.14
2007-08-01,2018-10-13,2018-10-13,3.2
2007-09-01,2018-10-13,2018-10-13,3.64
2007-10-01,2018-10-13,2018-10-13,3.88
2007-11-01,2018-10-13,2018-10-13,5.02
2007-12-01,2018-10-13,2018-10-13,4.55
2008-01-01,2018-10-13,2018-10-13,4.27
2008-02-01,2018-10-13,2018-10-13,4.26
2008-03-01,2018-10-13,2018-10-13,4.39
2008-04-01,2018-10-13,2018-10-13,4.51
2008-05-01,2018-10-13,2018-10-13,4.38
2008-06-01,2018-10-13,2018-10-13,4.2
2008-07-01,2018-10-13,2018-10-13,4.47
2008-08-01,2018-10-13,2018-10-13,4.08
2008-09-01,2018-10-13,2018-10-13,4.14
