date,realtime_start,realtime_end,value
1977-04-01,2018-10-13,2018-10-13,27.5159305773071
1977-05-01,2018-10-13,2018-10-13,27.6535102301937
1977-06-01,2018-10-13,2018-10-13,27.8369497673757
1977-07-01,2018-10-13,2018-10-13,27.9745294202623
1977-08-01,2018-10-13,2018-10-13,28.0662491888533
1977-09-01,2018-10-13,2018-10-13,28.1579689574443
1977-10-01,2018-10-13,2018-10-13,28.2496887260353
1977-11-01,2018-10-13,2018-10-13,28.3872683789219
1977-12-01,2018-10-13,2018-10-13,28.4789881475129
1978-01-01,2018-10-13,2018-10-13,28.662427684695
1978-02-01,2018-10-13,2018-10-13,28.845867221877
1978-03-01,2018-10-13,2018-10-13,29.0751666433546
1978-04-01,2018-10-13,2018-10-13,29.3044660648321
1978-05-01,2018-10-13,2018-10-13,29.5796253706052
1978-06-01,2018-10-13,2018-10-13,29.9006445606738
1978-07-01,2018-10-13,2018-10-13,30.1299439821513
1978-08-01,2018-10-13,2018-10-13,30.2675236350379
1978-09-01,2018-10-13,2018-10-13,30.4968230565154
1978-10-01,2018-10-13,2018-10-13,30.7719823622885
1978-11-01,2018-10-13,2018-10-13,30.909562015175
1978-12-01,2018-10-13,2018-10-13,31.0471416680616
1979-01-01,2018-10-13,2018-10-13,31.3223009738346
1979-02-01,2018-10-13,2018-10-13,31.6891800481987
1979-03-01,2018-10-13,2018-10-13,32.0101992382673
1979-04-01,2018-10-13,2018-10-13,32.3770783126314
1979-05-01,2018-10-13,2018-10-13,32.789817271291
1979-06-01,2018-10-13,2018-10-13,33.1566963456551
1979-07-01,2018-10-13,2018-10-13,33.5235754200192
1979-08-01,2018-10-13,2018-10-13,33.8445946100878
1979-09-01,2018-10-13,2018-10-13,34.2114736844519
1979-10-01,2018-10-13,2018-10-13,34.486632990225
1979-11-01,2018-10-13,2018-10-13,34.8076521802935
1979-12-01,2018-10-13,2018-10-13,35.1745312546576
1980-01-01,2018-10-13,2018-10-13,35.6789899819083
1980-02-01,2018-10-13,2018-10-13,36.1834487091589
1980-03-01,2018-10-13,2018-10-13,36.733767320705
1980-04-01,2018-10-13,2018-10-13,37.1465062793646
1980-05-01,2018-10-13,2018-10-13,37.5133853537287
1980-06-01,2018-10-13,2018-10-13,37.9261243123883
1980-07-01,2018-10-13,2018-10-13,37.9261243123883
1980-08-01,2018-10-13,2018-10-13,38.2012836181614
1980-09-01,2018-10-13,2018-10-13,38.52230280823
1980-10-01,2018-10-13,2018-10-13,38.8891818825941
1980-11-01,2018-10-13,2018-10-13,39.2102010726627
1980-12-01,2018-10-13,2018-10-13,39.5770801470268
1981-01-01,2018-10-13,2018-10-13,39.8980993370954
1981-02-01,2018-10-13,2018-10-13,40.310838295755
1981-03-01,2018-10-13,2018-10-13,40.585997601528
1981-04-01,2018-10-13,2018-10-13,40.8611569073011
1981-05-01,2018-10-13,2018-10-13,41.1821760973697
1981-06-01,2018-10-13,2018-10-13,41.5490551717338
1981-07-01,2018-10-13,2018-10-13,42.0076540146889
1981-08-01,2018-10-13,2018-10-13,42.3286732047575
1981-09-01,2018-10-13,2018-10-13,42.7414121634171
1981-10-01,2018-10-13,2018-10-13,42.8331319320081
1981-11-01,2018-10-13,2018-10-13,42.9707115848947
1981-12-01,2018-10-13,2018-10-13,43.1082912377812
1982-01-01,2018-10-13,2018-10-13,43.2458708906677
1982-02-01,2018-10-13,2018-10-13,43.3834505435543
1982-03-01,2018-10-13,2018-10-13,43.3375906592588
1982-04-01,2018-10-13,2018-10-13,43.5210301964408
1982-05-01,2018-10-13,2018-10-13,43.9337691551004
1982-06-01,2018-10-13,2018-10-13,44.4840877666466
1982-07-01,2018-10-13,2018-10-13,44.7133871881241
1982-08-01,2018-10-13,2018-10-13,44.8051069567151
1982-09-01,2018-10-13,2018-10-13,44.8968267253062
1982-10-01,2018-10-13,2018-10-13,45.0344063781927
1982-11-01,2018-10-13,2018-10-13,44.9426866096017
1982-12-01,2018-10-13,2018-10-13,44.7592470724196
1983-01-01,2018-10-13,2018-10-13,44.8509668410106
1983-02-01,2018-10-13,2018-10-13,44.8968267253062
1983-03-01,2018-10-13,2018-10-13,44.8968267253062
1983-04-01,2018-10-13,2018-10-13,45.2178459153747
1983-05-01,2018-10-13,2018-10-13,45.4930052211478
1983-06-01,2018-10-13,2018-10-13,45.6305848740344
1983-07-01,2018-10-13,2018-10-13,45.8140244112164
1983-08-01,2018-10-13,2018-10-13,45.9516040641029
1983-09-01,2018-10-13,2018-10-13,46.1809034855805
1983-10-01,2018-10-13,2018-10-13,46.318483138467
1983-11-01,2018-10-13,2018-10-13,46.4102029070581
1983-12-01,2018-10-13,2018-10-13,46.4560627913536
1984-01-01,2018-10-13,2018-10-13,46.7312220971266
1984-02-01,2018-10-13,2018-10-13,46.9605215186042
1984-03-01,2018-10-13,2018-10-13,47.0522412871952
1984-04-01,2018-10-13,2018-10-13,47.2815407086728
1984-05-01,2018-10-13,2018-10-13,47.4191203615593
1984-06-01,2018-10-13,2018-10-13,47.5567000144458
1984-07-01,2018-10-13,2018-10-13,47.7401395516279
1984-08-01,2018-10-13,2018-10-13,47.9235790888099
1984-09-01,2018-10-13,2018-10-13,48.1528785102875
1984-10-01,2018-10-13,2018-10-13,48.290458163174
1984-11-01,2018-10-13,2018-10-13,48.290458163174
1984-12-01,2018-10-13,2018-10-13,48.290458163174
1985-01-01,2018-10-13,2018-10-13,48.3821779317651
1985-02-01,2018-10-13,2018-10-13,48.6114773532426
1985-03-01,2018-10-13,2018-10-13,48.7949168904247
1985-04-01,2018-10-13,2018-10-13,49.0242163119022
1985-05-01,2018-10-13,2018-10-13,49.2076558490843
1985-06-01,2018-10-13,2018-10-13,49.3452355019708
1985-07-01,2018-10-13,2018-10-13,49.4369552705618
1985-08-01,2018-10-13,2018-10-13,49.5286750391529
1985-09-01,2018-10-13,2018-10-13,49.6662546920394
1985-10-01,2018-10-13,2018-10-13,49.8496942292214
1985-11-01,2018-10-13,2018-10-13,49.987273882108
1985-12-01,2018-10-13,2018-10-13,50.1248535349945
1986-01-01,2018-10-13,2018-10-13,50.2624331878811
1986-02-01,2018-10-13,2018-10-13,50.1248535349945
1986-03-01,2018-10-13,2018-10-13,49.895554113517
1986-04-01,2018-10-13,2018-10-13,49.8038343449259
1986-05-01,2018-10-13,2018-10-13,49.9414139978125
1986-06-01,2018-10-13,2018-10-13,50.2165733035855
1986-07-01,2018-10-13,2018-10-13,50.2165733035855
1986-08-01,2018-10-13,2018-10-13,50.3082930721766
1986-09-01,2018-10-13,2018-10-13,50.5375924936541
1986-10-01,2018-10-13,2018-10-13,50.5834523779496
1986-11-01,2018-10-13,2018-10-13,50.6293122622452
1986-12-01,2018-10-13,2018-10-13,50.6751721465407
1987-01-01,2018-10-13,2018-10-13,50.9961913366092
1987-02-01,2018-10-13,2018-10-13,51.1796308737913
1987-03-01,2018-10-13,2018-10-13,51.4089302952688
1987-04-01,2018-10-13,2018-10-13,51.6840896010419
1987-05-01,2018-10-13,2018-10-13,51.867529138224
1987-06-01,2018-10-13,2018-10-13,52.050968675406
1987-07-01,2018-10-13,2018-10-13,52.1885483282926
1987-08-01,2018-10-13,2018-10-13,52.4637076340656
1987-09-01,2018-10-13,2018-10-13,52.7388669398387
1987-10-01,2018-10-13,2018-10-13,52.8764465927252
1987-11-01,2018-10-13,2018-10-13,52.9223064770207
1987-12-01,2018-10-13,2018-10-13,52.9223064770207
1988-01-01,2018-10-13,2018-10-13,53.0598861299073
1988-02-01,2018-10-13,2018-10-13,53.1974657827938
1988-03-01,2018-10-13,2018-10-13,53.4267652042714
1988-04-01,2018-10-13,2018-10-13,53.7019245100444
1988-05-01,2018-10-13,2018-10-13,53.8853640472265
1988-06-01,2018-10-13,2018-10-13,54.114663468704
1988-07-01,2018-10-13,2018-10-13,54.3439628901816
1988-08-01,2018-10-13,2018-10-13,54.5732623116592
1988-09-01,2018-10-13,2018-10-13,54.9401413860233
1988-10-01,2018-10-13,2018-10-13,55.1235809232053
1988-11-01,2018-10-13,2018-10-13,55.1694408075008
1988-12-01,2018-10-13,2018-10-13,55.2611605760919
1989-01-01,2018-10-13,2018-10-13,55.5363198818649
1989-02-01,2018-10-13,2018-10-13,55.7656193033425
1989-03-01,2018-10-13,2018-10-13,56.0866384934111
1989-04-01,2018-10-13,2018-10-13,56.4535175677752
1989-05-01,2018-10-13,2018-10-13,56.7745367578438
1989-06-01,2018-10-13,2018-10-13,56.9121164107303
1989-07-01,2018-10-13,2018-10-13,57.0496960636168
1989-08-01,2018-10-13,2018-10-13,57.1414158322078
1989-09-01,2018-10-13,2018-10-13,57.3248553693899
1989-10-01,2018-10-13,2018-10-13,57.600014675163
1989-11-01,2018-10-13,2018-10-13,57.7375943280495
1989-12-01,2018-10-13,2018-10-13,57.8293140966405
1990-01-01,2018-10-13,2018-10-13,58.4254925924822
1990-02-01,2018-10-13,2018-10-13,58.7006518982552
1990-03-01,2018-10-13,2018-10-13,59.0216710883238
1990-04-01,2018-10-13,2018-10-13,59.1133908569149
1990-05-01,2018-10-13,2018-10-13,59.2509705098014
1990-06-01,2018-10-13,2018-10-13,59.57198969987
1990-07-01,2018-10-13,2018-10-13,59.8012891213475
1990-08-01,2018-10-13,2018-10-13,60.3516077328937
1990-09-01,2018-10-13,2018-10-13,60.8560664601443
1990-10-01,2018-10-13,2018-10-13,61.2229455345084
1990-11-01,2018-10-13,2018-10-13,61.3605251873949
1990-12-01,2018-10-13,2018-10-13,61.3605251873949
